Name,ID,Industry
WALL STREET FINANCE LTD.,WSFIN,Non Banking Financial Company (NBFC)
Anjani Foods Ltd,ANJANIFOODS,Packaged Foods
RKD Agri & Retail Ltd,RKDAGRRTL,Non Banking Financial Company (NBFC)
PARSHWANATH CORPORATION LTD.,PARSHWANA,Residential- Commercial Projects
SURYAKRIPA FINANCE LTD.,SURYAKR,Logistics Solution Provider
Millennium Online Solutions ( India ) Ltd,MILLENNIUM,Diversified Commercial Services
ICDS LTD.,ICDSLTD,Diversified Commercial Services
CAN FIN HOMES LTD.,CANFINHOME,Housing Finance Company
MUNOTH CAPITAL MARKET LTD.,MUNCAPM,Stockbroking & Allied
IL&FS INVESTMENT MANAGERS LTD.,IVC,Asset Management Company
SHRIRAM TRANSPORT FINANCE CO.LTD.,SRTRANSFIN,Non Banking Financial Company (NBFC)
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Non Banking Financial Company (NBFC)
SAGAR SYSTECH LTD.,SAGARSYST,Non Banking Financial Company (NBFC)
ID Info Business Services Ltd,IDINFO,Other Financial Services
VLS FINANCE LTD.,VLSFINANCE,Investment Company
INDIA CEMENTS CAPITAL LTD.,INDCEMCAP,Non Banking Financial Company (NBFC)
AD-MANUM FINANCE LTD.,ADMANUM,Non Banking Financial Company (NBFC)
MEHTA INTEGRATED FINANCE LTD.,MEHIF,Non Banking Financial Company (NBFC)
INTER GLOBE FINANCE LTD.,INTRGLB,Non Banking Financial Company (NBFC)
SHRISTI INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.,SHRISTI,Residential- Commercial Projects
CREST VENTURES LIMITED,CREST,Non Banking Financial Company (NBFC)
Vakrangee Limited-$,VAKRANGEE,IT Enabled Services
GUJARAT CREDIT CORPORATION LTD.,GUJCRED,Other Financial Services
SYLPH TECHNOLOGIES LTD.,SYLPH,IT Enabled Services
DHARANI FINANCE LTD.,DHARFIN,Non Banking Financial Company (NBFC)
Alexander Stamps And Coin Ltd,ALEXANDER,Diversified
INDBANK MERCHANT BANKING SERVICES LTD.,INDBANK,Stockbroking & Allied
BHARAT BHUSHAN SHARE & COMMODITY BROKERS LTD.,BHARAT,Other Financial Services
CAPITAL TRUST LTD.,CAPITALT,Non Banking Financial Company (NBFC)
USHAKIRAN FINANCE LTD.,USHAKIRA,Non Banking Financial Company (NBFC)
VIVO BIO TECH LTD.,VIVOBIOT,Biotechnology
Veerhealth Care Limited,VEERHEALTH,Pharmaceuticals
PAN INDIA CORPORATION LTD.,PANINDIAC,Investment Company
SAHARA HOUSINGFINA CORPORATION LTD.,SAHARAHOUS,Housing Finance Company
NDA SECURITIES LTD.,NDASEC,Other Financial Services
Supra Trends Limited,SUPRATRE,Other Financial Services
GSB FINANCE LTD.,GSBFIN,Non Banking Financial Company (NBFC)
MORARKA FINANCE LTD.,MORARKFI,Non Banking Financial Company (NBFC)
Monarch Networth Capital Ltd,MONARCH,Stockbroking & Allied
PRO FIN CAPITAL SERVICES LTD.,PROFINC,Diversified Commercial Services
TIMES GUARANTY LTD.,TIMESGTY,Non Banking Financial Company (NBFC)
SOM DATT FINANCE CORPORATION LTD.,SODFC,Non Banking Financial Company (NBFC)
REGENCY TRUST LTD.,REGTRUS,Non Banking Financial Company (NBFC)
Avonmore Capital & Management Services Limited,AVONMORE,Non Banking Financial Company (NBFC)
Libord Finance Ltd,LIBORDFIN,Non Banking Financial Company (NBFC)
YASH MANAGEMENT & SATELLITE LTD.,YASHMGM,Trading & Distributors
ARIHANT CAPITAL MARKETS LTD.,ARIHCAPM,Stockbroking & Allied
ISL CONSULTING LTD.,ISLCONSUL,Other Financial Services
DCM FINANCIAL SERVICES LTD.,DCMFINSERV,Investment Company
IM+ Capitals Limited,IMCAP,Non Banking Financial Company (NBFC)
